satname,norad_id,inclination_deg,eccentricity,mean_motion_rev_per_day,perigee_km,apogee_km,l1,l2
STARLINK-1362,45538,53.155,0.000498,15.40177223,442.187598636192,448.98402655753944,1 45538U 20025H   26189.65283890  .00047123  00000+0  11590-2 0  9995,2 45538  53.1550 255.2395 0004980 333.2938  26.7810 15.40177223343757
STARLINK-1368,45540,53.1554,0.0003368,15.4042723,442.5494974587382,447.1454598035443,1 45540U 20025K   26189.46822552  .00026554  00000+0  65390-3 0  9994,2 45540  53.1554 256.4400 0003368 327.2855  32.7941 15.40427230343718
STARLINK-1371,45542,53.0412,0.0002365,15.71494447,353.03288048619015,356.21747699673415,1 45542U 20025M   26189.16355619  .00038589  00000+0  29881-3 0  9994,2 45542  53.0412 224.4021 0002365  52.5679 307.5553 15.71494447344119
STARLINK-1372,45543,53.1572,0.0002861,15.40921829,441.4357526549893,445.33902891139587,1 45543U 20025N   26189.54769408  .00041652  00000+0  10017-2 0  9997,2 45543  53.1572 255.4671 0002861 284.0078  76.0609 15.40921829342831
STARLINK-1373,45544,53.0418,0.0002857,15.73276783,347.617173691041,351.4613679121785,1 45544U 20025P   26189.07100241  .00040175  00000+0  28827-3 0  9998,2 45544  53.0418 219.5547 0002857  48.6431 311.4832 15.73276783344176
STARLINK-1327,45555,53.039,0.0002593,15.7515764,342.4395384079435,345.9257333711157,1 45555U 20025AA  26189.30639727  .00053147  00000+0  34985-3 0  9997,2 45555  53.0390 195.5627 0002593  71.9895 288.1406 15.75157640344527
STARLINK-1356,45564,53.0406,0.0004483,15.6788259,361.9382458974851,367.98410772281204,1 45564U 20025AK  26189.42369476  .00032112  00000+0  28961-3 0  9997,2 45564  53.0406 209.2461 0004483  35.2437 324.8875 15.67882590344347
STARLINK-1357,45565,53.042,0.0001306,15.73140695,349.04857498250385,350.8059453672622,1 45565U 20025AL  26189.36364331  .00049380  00000+0  35502-3 0  9990,2 45565  53.0420 165.2091 0001306 196.6134 163.4841 15.73140695344969
STARLINK-1361,45567,53.0396,0.000264,15.71648501,352.4078720298194,355.9625381541091,1 45567U 20025AN  26189.96417585  .00045819  00000+0  35134-3 0  9992,2 45567  53.0396 204.5455 0002640  64.9308 295.1983 15.71648501344468
STARLINK-1376,45570,53.1553,0.0002078,15.41224309,441.0775080544854,443.9121626452579,1 45570U 20025AR  26189.38681992  .00037694  00000+0  89886-3 0  9992,2 45570  53.1553 232.5359 0002078 340.7252  19.3675 15.41224309344041
STARLINK-1320,45572,53.0346,0.0003719,15.99780426,272.55309587469947,277.501719561159,1 45572U 20025AT  26190.00002315  .00307156  50674-4  59764-3 0  9993,2 45572  53.0346  96.2063 0003719 103.9436 231.7588 15.99780426  6043
STARLINK-1321,45573,53.039,0.0001787,15.7214897,351.5535657476921,353.9591870404147,1 45573U 20025AU  26189.70904254  .00049523  00000+0  37131-3 0  9990,2 45573  53.0390 189.5876 0001787  75.0023 285.1192 15.72148970344340
STARLINK-1331,45578,53.0439,0.0002036,15.71884826,352.1398441847168,354.88097100909,1 45578U 20025AZ  26189.99100057  .00047970  00000+0  36390-3 0  9995,2 45578  53.0439 195.1567 0002036  66.1357 293.9874 15.71884826344607
STARLINK-1333,45580,53.1538,0.0004117,15.38314853,448.28056194060537,453.9037492273128,1 45580U 20025BB  26189.75507198  .00076748  00000+0  19922-2 0  9995,2 45580  53.1538 232.9858 0004117 348.7125  11.3787 15.38314853344075
STARLINK-1335,45581,53.1519,0.0003177,15.39870487,444.32376996658695,448.66013920433033,1 45581U 20025BC  26189.49071078  .00032022  00000+0  80049-3 0  9996,2 45581  53.1519 230.5634 0003177 310.7147  49.3582 15.39870487344074
STARLINK-1337,45582,53.0406,0.0001853,15.79367581,330.98794124875076,333.4748037676027,1 45582U 20025BD  26189.93611034  .00071909  00000+0  39069-3 0  9991,2 45582  53.0406 182.8153 0001853  93.5641 266.5591 15.79367581344756
STARLINK-1347,45586,53.0346,0.0001643,15.72128242,351.7096438564504,353.921434860883,1 45586U 20025BH  26189.92868939  .00049286  00000+0  36989-3 0  9993,2 45586  53.0346 154.8129 0001643  56.4660 303.6514 15.72128242345145
STARLINK-1364,45589,53.0394,0.0004351,15.72829068,347.8881577725788,353.7436926080791,1 45589U 20025BL  26189.41246860  .00045754  00000+0  33368-3 0  9997,2 45589  53.0394 193.9095 0004351  36.8105 323.3211 15.72829068344553
STARLINK-1365,45590,53.0431,0.0002115,15.68063025,363.0178312623457,365.86994297759793,1 45590U 20025BM  26189.09071110  .00029735  00000+0  26676-3 0  9992,2 45590  53.0431 231.1398 0002115  39.4590 320.6580 15.68063025344020
STARLINK-1443,45660,53.1322,0.0002399,15.3496196,459.3927692595089,462.6742032588163,1 45660U 20035D   26189.41848014  .00023783  00000+0  70018-3 0  9998,2 45660  53.1322 223.8307 0002399  38.0679 322.0492 15.34961960337245
STARLINK-1446,45663,53.0202,0.0002441,15.49477622,416.5941603347301,419.91215801043745,1 45663U 20035G   26189.25082301  .00023084  00000+0  41933-3 0  9990,2 45663  53.0202 144.0240 0002441  11.8036 348.3028 15.49477622338327
STARLINK-1448,45665,53.0385,0.000224,15.7668411,338.3382894456445,341.34794453805625,1 45665U 20035J   26189.97943763  .00067599  00000+0  41447-3 0  9998,2 45665  53.0385 178.0840 0002240  81.4295 278.6978 15.76684110337905
STARLINK-1451,45668,53.0516,0.0001776,15.15657544,517.7581059304111,520.2079629666468,1 45668U 20035M   26189.43956463  .00014937  00000+0  79035-3 0  9995,2 45668  53.0516 238.4815 0001776 359.0072   1.0917 15.15657544337025
STARLINK-1452,45669,53.0216,0.0004962,15.64525837,371.252080219876,377.95349918717693,1 45669U 20035N   26189.63264063  .00061699  00000+0  62893-3 0  9997,2 45669  53.0216 157.3436 0004962  42.9571 317.1829 15.64525837338176
STARLINK-1453,45670,53.0346,0.00019,15.77442092,336.4148845078071,338.96689910669284,1 45670U 20035P   26189.93767992  .00078249  00000+0  46277-3 0  9998,2 45670  53.0346 138.4548 0001900 138.4894 221.6270 15.77442092338358
STARLINK-1454,45671,53.0406,0.0001849,15.75082602,343.1531417184897,345.63913447295727,1 45671U 20035Q   26189.69839326  .00069675  00000+0  45798-3 0  9993,2 45671  53.0406 181.0748 0001849  75.0173 285.1050 15.75082602337838
STARLINK-1456,45673,53.0394,0.0001624,15.71476378,353.58337901990035,355.77019693823695,1 45673U 20035S   26189.26734407  .00045631  00000+0  35249-3 0  9998,2 45673  53.0394 178.3232 0001624  69.9720 290.1471 15.71476378337852
STARLINK-1458,45675,53.042,0.0004838,15.6294077,375.89839235427735,382.43676026231424,1 45675U 20035U   26189.71747292  .00102494  00000+0  11026-2 0  9993,2 45675  53.0420 192.6865 0004838  43.6708 316.4688 15.62940770337652
STARLINK-1460,45676,53.1554,0.0004455,15.37978264,449.04564558560196,455.13137651594934,1 45676U 20035V   26189.47408900  .00024142  00000+0  64504-3 0  9990,2 45676  53.1554 221.5274 0004455   5.3634 354.7417 15.37978264337247
STARLINK-1392,45677,53.1504,0.0004758,15.41503711,438.42577316296956,444.91550211094545,1 45677U 20035W   26189.35951324  .00037593  00000+0  88802-3 0  9992,2 45677  53.1504 219.9470 0004758 358.7157   1.3836 15.41503711337294
STARLINK-1394,45679,53.0379,0.0001628,15.70021537,357.73861908840263,359.93217730125434,1 45679U 20035Y   26189.66912550  .00047401  00000+0  38878-3 0  9993,2 45679  53.0379 166.8071 0001628  89.4834 270.6369 15.70021537338044
STARLINK-1402,45685,53.0392,0.0001191,15.67254844,365.9583197639922,367.56495461937175,1 45685U 20035AE  26189.87121664  .00032915  00000+0  30444-3 0  9996,2 45685  53.0392 158.1402 0001191 105.2712 254.8435 15.67254844338194
STARLINK-1404,45686,53.1574,0.0004967,15.47469874,420.75180424122027,427.50917676628615,1 45686U 20035AF  26189.74746209  .00062668  00000+0  11999-2 0  9992,2 45686  53.1574 198.3990 0004967 358.4490   1.6502 15.47469874337635
STARLINK-1413,45689,53.1553,0.000461,15.37754078,449.60329794384234,455.90137791341294,1 45689U 20035AJ  26189.32016519  .00034519  00000+0  92325-3 0  9990,2 45689  53.1553 206.9207 0004610   6.8096 353.2969 15.37754078337391
STARLINK-1417,45693,53.0463,0.000247,15.18262545,509.389854132497,512.7931330083211,1 45693U 20035AN  26189.48591153  .00016234  00000+0  79624-3 0  9995,2 45693  53.0463 224.3663 0002470 278.3542  81.7172 15.18262545337211
STARLINK-1420,45695,53.0425,0.0001575,15.74205359,345.8341835523024,347.95256812069056,1 45695U 20035AQ  26189.61481101  .00063193  00000+0  43217-3 0  9998,2 45695  53.0425 149.4863 0001575 122.0838 238.0333 15.74205359338284
