alt_km,inc_deg,satname,provider,constellation
437.9575369729487,53.1594,STARLINK-1541,SpaceX,Starlink
475.2522550706808,53.1606,STARLINK-1543,SpaceX,Starlink
475.2524163071389,53.1599,STARLINK-1548,SpaceX,Starlink
470.80064328328535,53.1596,STARLINK-1554,SpaceX,Starlink
475.27922647900914,53.1595,STARLINK-1564,SpaceX,Starlink
470.8080183217403,53.1596,STARLINK-1570,SpaceX,Starlink
475.19053504823705,53.1596,STARLINK-1572,SpaceX,Starlink
473.35601797982326,53.1604,STARLINK-1573,SpaceX,Starlink
475.22827871771597,53.1611,STARLINK-1577,SpaceX,Starlink
475.21388106332233,53.1603,STARLINK-1583,SpaceX,Starlink
499.91760608505047,53.1095,STARLINK-1536,SpaceX,Starlink
547.2320864196536,53.0555,STARLINK-1542,SpaceX,Starlink
489.4711130046694,53.0522,STARLINK-1549,SpaceX,Starlink
477.791716551581,53.1562,STARLINK-1551,SpaceX,Starlink
477.7885336656959,53.1549,STARLINK-1552,SpaceX,Starlink
465.84228546848135,53.0238,STARLINK-1559,SpaceX,Starlink
477.81044634081445,53.1543,STARLINK-1566,SpaceX,Starlink
418.55387051759317,53.0598,STARLINK-1568,SpaceX,Starlink
494.37607658732986,53.1172,STARLINK-1578,SpaceX,Starlink
477.8510504048504,53.1545,STARLINK-1579,SpaceX,Starlink
298.6186214981103,53.0358,STARLINK-1593,SpaceX,Starlink
280.86185935138747,53.0363,STARLINK-1621,SpaceX,Starlink
356.17873027202495,53.0205,STARLINK-1622,SpaceX,Starlink
386.3080459440853,53.0448,STARLINK-1623,SpaceX,Starlink
329.35566139565117,53.0375,STARLINK-1624,SpaceX,Starlink
414.3579269118136,53.0387,STARLINK-1596,SpaceX,Starlink
374.51300361187214,53.0457,STARLINK-1597,SpaceX,Starlink
