provider,status,window_start,net,name,delay_hours
SpaceX,Launch Successful,2025-08-22 03:40:00+00:00,2025-08-22 03:50:00+00:00,Falcon 9 Block 5 | OTV-8 (X-37B) (USSF-36),0.16666666666666666
Russian Space Forces,Launch Successful,2025-08-21 08:30:00+00:00,2025-08-21 09:32:00+00:00,Angara 1.2 | Kosmos 2590-2593 (?),1.0333333333333334
Russian Federal Space Agency (ROSCOSMOS),Launch Successful,2025-08-20 17:13:10+00:00,2025-08-20 17:13:10+00:00,Soyuz 2.1b | Bion-M No. 2,0.0
CAS Space,Launch Successful,2025-08-19 07:25:00+00:00,2025-08-19 07:33:00+00:00,Kinetica 1 | 7 satellites,0.13333333333333333
SpaceX,Launch Successful,2025-08-18 15:44:00+00:00,2025-08-18 16:26:49+00:00,Falcon 9 Block 5 | Starlink Group 17-5,0.7136111111111111
China Aerospace Science and Technology Corporation,Launch Successful,2025-08-17 14:07:00+00:00,2025-08-17 14:15:00+00:00,Long March 6A | SatNet LEO Group 09,0.13333333333333333
China Aerospace Science and Technology Corporation,Launch Successful,2025-08-17 08:55:00+00:00,2025-08-17 08:55:00+00:00,Long March 4C | Shiyan 28 B-02,0.0
LandSpace,Launch Failure,2025-08-15 01:08:00+00:00,2025-08-15 01:17:00+00:00,Zhuque-2E | Unknown Payload,0.15
SpaceX,Launch Successful,2025-08-14 10:47:00+00:00,2025-08-14 12:29:30+00:00,Falcon 9 Block 5 | Starlink Group 10-20,1.7083333333333333
SpaceX,Launch Successful,2025-08-14 02:05:00+00:00,2025-08-14 05:05:37+00:00,Falcon 9 Block 5 | Starlink Group 17-4,3.0102777777777776
China Aerospace Science and Technology Corporation,Launch Successful,2025-08-13 06:36:00+00:00,2025-08-13 06:43:00+00:00,Long March 5B/YZ-2 | SatNet LEO Group 08,0.11666666666666667
United Launch Alliance,Launch Successful,2025-08-12 23:59:00+00:00,2025-08-13 00:56:00+00:00,Vulcan VC4S | USSF-106,0.95
Arianespace,Launch Successful,2025-08-13 00:37:50+00:00,2025-08-13 00:37:50+00:00,Ariane 62 | Metop-SG A1,0.0
SpaceX,Launch Successful,2025-08-11 12:35:00+00:00,2025-08-11 12:35:00+00:00,Falcon 9 Block 5 | Project Kuiper (KF-02),0.0
China Rocket Co. Ltd.,Launch Successful,2025-08-08 16:21:00+00:00,2025-08-08 16:31:00+00:00,Smart Dragon 3 | Geely Constellation Group 04,0.16666666666666666
Rocket Lab,Launch Successful,2025-08-05 03:45:00+00:00,2025-08-05 04:10:00+00:00,Electron | The Harvest Goddess Thrives (iQPS Launch 4),0.4166666666666667
China Aerospace Science and Technology Corporation,Launch Successful,2025-08-04 10:14:00+00:00,2025-08-04 10:21:00+00:00,Long March 12 | SatNet LEO Group 07,0.11666666666666667
SpaceX,Launch Successful,2025-08-04 04:11:00+00:00,2025-08-04 07:57:50+00:00,Falcon 9 Block 5 | Starlink Group 10-30,3.7805555555555554
Blue Origin,Launch Successful,2025-08-03 12:30:00+00:00,2025-08-03 12:42:16+00:00,New Shepard | NS-34,0.20444444444444446
SpaceX,Launch Successful,2025-08-01 15:43:42+00:00,2025-08-01 15:43:42+00:00,Falcon 9 Block 5 | Crew-11,0.0
SpaceX,Launch Successful,2025-07-31 15:39:00+00:00,2025-07-31 18:35:09+00:00,Falcon 9 Block 5 | Starlink Group 13-4,2.9358333333333335
ExPace,Launch Successful,2025-07-31 01:51:00+00:00,2025-07-31 02:00:00+00:00,Kuaizhou-1A | PRSC-S1,0.15
Indian Space Research Organization,Launch Successful,2025-07-30 12:10:00+00:00,2025-07-30 12:10:00+00:00,GSLV Mk II | NISAR (NASA-ISRO Synthetic Aperture Radar),0.0
China Aerospace Science and Technology Corporation,Launch Successful,2025-07-30 07:41:00+00:00,2025-07-30 07:49:00+00:00,Long March 8A | SatNet LEO Group 06,0.13333333333333333
SpaceX,Launch Successful,2025-07-30 03:30:00+00:00,2025-07-30 03:37:50+00:00,Falcon 9 Block 5 | Starlink Group 10-29,0.13055555555555556
Gilmour Space Technologies,Launch Failure,2025-07-29 21:30:00+00:00,2025-07-29 22:35:00+00:00,Eris-1 | Maiden Flight,1.0833333333333333
i-Space,Launch Successful,2025-07-29 04:03:00+00:00,2025-07-29 04:11:00+00:00,Hyperbola-1 | Kunpeng-03,0.13333333333333333
China Aerospace Science and Technology Corporation,Launch Successful,2025-07-27 09:55:00+00:00,2025-07-27 10:03:00+00:00,Long March 6A | SatNet LEO Group 05,0.13333333333333333
SpaceX,Launch Successful,2025-07-27 02:09:00+00:00,2025-07-27 04:31:09+00:00,Falcon 9 Block 5 | Starlink Group 17-2,2.3691666666666666
SpaceX,Launch Successful,2025-07-26 08:28:00+00:00,2025-07-26 09:01:40+00:00,Falcon 9 Block 5 | Starlink Group 10-26,0.5611111111111111
