object,a,e,i,albedo,diameter,dv_kms,est_value_usd,profit_index,price_pt_usd,price_ni_usd,price_co_usd
34,,0.217767762813204,,0.066,0.05,5.626651644219806,23143517.555910975,3492490.4459250164,950.0,17000.0,32000.0
35,,0.3063778536822326,,0.029,0.05,5.759566780523349,23143517.555910975,3423816.6893469356,950.0,17000.0,32000.0
36,,0.1748495452033681,,0.1826,0.05,5.562274317805052,23143517.555910975,3526752.5304629467,950.0,17000.0,32000.0
37,,0.1509405608091225,,0.055,0.05,5.526410841213684,23143517.555910975,3546132.4944120576,950.0,17000.0,32000.0
38,,0.1124359205478286,,0.269,0.05,5.468653880821742,16531083.96850784,2555567.86204301,950.0,17000.0,32000.0
39,,0.0460364252171486,,0.22,0.05,5.369054637825723,16531083.96850784,2595531.8188558114,950.0,17000.0,32000.0
40,,0.2708132034211078,,0.059,0.05,5.706219805131662,23143517.555910975,3451052.638954861,950.0,17000.0,32000.0
41,,0.2219134584003149,,0.139,0.05,5.6328701876004725,23143517.555910975,3489216.1163014476,950.0,17000.0,32000.0
42,,0.1683731805126217,,0.234,0.05,5.552559770768933,16531083.96850784,2522843.6743535334,950.0,17000.0,32000.0
43,,0.1496908565297628,,0.482,0.05,5.524536284794644,16531083.96850784,2533679.5209543607,950.0,17000.0,32000.0
44,,0.0827964476536887,,0.045,0.05,5.4241946714805325,23143517.555910975,3602555.4547177623,950.0,17000.0,32000.0
45,,0.1720221862947149,,0.046,0.05,5.558033279442072,23143517.555910975,3529033.2588675,950.0,17000.0,32000.0
46,,0.1321169036596021,,0.082,0.05,5.498175355489403,23143517.555910975,3561540.9387744884,950.0,17000.0,32000.0
47,,0.0664038574868625,,0.065,0.05,5.3996057862302935,23143517.555910975,3616397.3733675447,950.0,17000.0,32000.0
48,,0.2215719620224083,,0.048,0.05,5.632357943033612,23143517.555910975,3489485.6029626816,950.0,17000.0,32000.0
49,,0.2846695735557379,,0.05,0.05,5.7270043603336065,23143517.555910975,3440389.855011665,950.0,17000.0,32000.0
50,,0.0659196257325687,,0.1,0.05,5.398879438598853,23143517.555910975,3616807.876752035,950.0,17000.0,32000.0
51,,0.1118220513775756,,0.057,0.05,5.467733077066363,23143517.555910975,3578304.3734402875,950.0,17000.0,32000.0
52,,0.2029112906916681,,0.028,0.05,5.604366936037502,23143517.555910975,3504274.9411189826,950.0,17000.0,32000.0
53,,0.1972818112850479,,0.059,0.05,5.595922716927571,23143517.555910975,3508761.177039896,950.0,17000.0,32000.0
54,,0.1450489798211054,,0.204,0.05,5.517573469731658,16531083.96850784,2536386.286288915,950.0,17000.0,32000.0
55,,0.236991165946343,,0.057,0.05,5.655486748919515,23143517.555910975,3477359.1217303844,950.0,17000.0,32000.0
56,,0.108211345092042,,0.2149,0.05,5.462317017638063,16531083.96850784,2558073.818320638,950.0,17000.0,32000.0
57,,0.0455996740682376,,0.044,0.05,5.368399511102356,23143517.555910975,3634118.3551006336,950.0,17000.0,32000.0
58,,0.11674746769232,,0.044,0.05,5.47512120153848,23143517.555910975,3574221.521971219,950.0,17000.0,32000.0
59,,0.1845001821909729,,0.373,0.05,5.576750273286459,16531083.96850784,2513564.1892400933,950.0,17000.0,32000.0
60,,0.163965391604857,,0.203,0.05,5.545948087407285,16531083.96850784,2525391.85275688,950.0,17000.0,32000.0
61,,0.1680627615769112,,0.048,0.05,5.552094142365367,23143517.555910975,3532232.1464013564,950.0,17000.0,32000.0
62,,0.1282280746486884,,0.125,0.05,5.4923421119730325,23143517.555910975,3564740.914258079,950.0,17000.0,32000.0
63,,0.126391259708651,,0.483,0.05,5.489586889562976,16531083.96850784,2547324.544663132,950.0,17000.0,32000.0
64,,0.1273795506037538,,0.0706,0.05,5.491069325905631,23143517.555910975,3565439.8980990704,950.0,17000.0,32000.0
65,,0.172229060106,,0.016,0.05,5.558343590159,23143517.555910975,3528866.2812113944,950.0,17000.0,32000.0
66,,0.1849582666642151,,0.228,0.05,5.577437399996322,16531083.96850784,2513301.60413493,950.0,17000.0,32000.0
