time,sat_a,id_a,sat_b,id_b,sep_km,note
2025-09-08 13:01:31.909369+00:00,STARLINK-1143,45179,STARLINK-1212,45223,102.98200825337834,closest_pair
2025-09-09 00:44:31.909369+00:00,STARLINK-1115,44973,STARLINK-1146,45094,106.18026382532243,closest_pair
2025-09-08 04:01:31.909369+00:00,STARLINK-1054,44759,STARLINK-1143,45179,106.29128929496453,closest_pair
2025-09-08 05:52:31.909369+00:00,STARLINK-1011,44717,STARLINK-1247,45236,106.35945199651997,closest_pair
2025-09-08 07:31:31.909369+00:00,STARLINK-1021,44726,STARLINK-1107,44972,106.7611819199132,closest_pair
2025-09-08 16:39:31.909369+00:00,STARLINK-1168,45072,STARLINK-1234,45190,107.51128836824246,closest_pair
2025-09-08 20:57:31.909369+00:00,STARLINK-1142,45093,STARLINK-1221,45227,108.10525407242666,closest_pair
2025-09-08 15:46:31.909369+00:00,STARLINK-1199,45201,STARLINK-1221,45227,108.52985616179993,closest_pair
2025-09-08 07:00:31.909369+00:00,STARLINK-1168,45072,STARLINK-1221,45227,108.63948283872934,closest_pair
2025-09-08 13:45:31.909369+00:00,STARLINK-1134,45048,STARLINK-1193,45100,109.88456661522984,closest_pair
2025-09-08 06:59:31.909369+00:00,STARLINK-1015,44721,STARLINK-1029,44734,110.50225434498506,closest_pair
2025-09-08 23:17:31.909369+00:00,STARLINK-1010,44716,STARLINK-1240,45194,111.69031698654159,closest_pair
2025-09-08 21:29:31.909369+00:00,STARLINK-1134,45048,STARLINK-1300,45374,112.2096713548507,closest_pair
2025-09-08 18:27:31.909369+00:00,STARLINK-1047,44752,STARLINK-1216,45185,113.17674241976027,closest_pair
2025-09-08 06:41:31.909369+00:00,STARLINK-1134,45048,STARLINK-1153,45080,113.22268921966818,closest_pair
2025-09-08 07:04:31.909369+00:00,STARLINK-1201,45182,STARLINK-1217,45226,113.42252933098959,closest_pair
2025-09-08 23:42:31.909369+00:00,STARLINK-1098,44917,STARLINK-1217,45226,113.45847519436451,closest_pair
2025-09-08 15:38:31.909369+00:00,STARLINK-1133,45064,STARLINK-1276,45368,114.30612675511519,closest_pair
