name,spkid,albedo,diameter_km,e,i_deg,a_au,class
  2417 McVittie (1964 CD),20002417,0.099,18.433,0.2256194435902341,3.108935205882599,3.176642416892189,C
  2418 Voskovec-Werich (1971 UV),20002418,0.109,12.132,0.1602130852110863,1.29675160024979,3.12365376755024,C
  2419 Moldavia (1974 SJ),20002419,0.237,6.068,0.0918436660442731,6.39635148695243,2.295915990339842,M
  2420 Ciurlionis (1975 TN),20002420,0.327,8.444,0.1324182922558447,14.59360051683413,2.560607350475589,S
  2421 Nininger (1979 UD),20002421,0.064,39.505,0.04274731496928848,10.20660412698575,3.234998655981292,C
  2422 Perovskaya (1968 HK1),20002422,0.186,5.627,0.1977094927524929,6.400468057169316,2.329200161707733,M
  2423 Ibarruri (1972 NC),20002423,0.33,4.899,0.2828639611395365,4.056798520333539,2.189175614813843,S
  2424 Tautenburg (1973 UT5),20002424,0.403,6.879,0.1351142771420711,8.903276615646039,2.349133123336818,S
  2425 Shenzhen (1975 FW),20002425,0.184,18.682,0.09139803780317436,10.86827479114687,3.001873915456761,M
  2426 Simonov (1976 KV),20002426,0.074,25.654,0.118585792302321,8.503069794043457,2.907919769962489,C
  2427 Kobzar (1976 YQ7),20002427,0.194,7.989,0.1627892110867968,4.155845480470995,2.741860575542715,M
  2428 Kamenyar (1977 RZ6),20002428,0.116,23.652,0.09666185426550623,9.311679089755318,3.163013534650283,C
  2429 Schurer (1977 TZ),20002429,0.12,11.582,0.1012324703877934,15.05524828563239,2.572069641615927,C
  2430 Bruce Helin (1977 VC),20002430,0.238,12.467,0.2143050416955891,23.44770073041931,2.363337209759604,M
  2431 Skovoroda (1978 PF3),20002431,0.302,7.652,0.2813443102908227,2.97308364196332,2.64644574210141,S
  2432 Soomana (1981 FA),20002432,0.348,7.387,0.1125818615943016,6.759879318488454,2.351879783389923,S
  2433 Sootiyo (1981 GJ),20002433,0.304,12.076,0.2208981011036339,10.36300466690354,2.607003339252385,S
  2434 Bateson (1981 KA),20002434,0.197,16.751,0.1677397625876789,15.60593664074043,3.084674597237692,M
  2435 Horemheb (4578 P-L),20002435,,,0.2048769871956394,3.966960932901661,2.203461032935228,C
  2436 Hatshepsut (6066 P-L),20002436,0.066,18.813,0.09484140002047292,4.151487814648559,3.180146049734375,C
  2437 Amnestia (1942 RZ),20002437,0.269,6.742,0.1482035788821314,2.946074542754108,2.188412394934085,M
  2438 Oleshko (1975 VO2),20002438,0.468,7.179,0.1091620808341829,4.902760213432771,2.243918928308537,S
  2439 Ulugbek (1977 QX2),20002439,0.08,21.457,0.1483851240938251,0.2921201957008753,3.140993948183559,C
  2440 Educatio (1978 VQ4),20002440,0.247,6.586,0.1625433259445919,4.104139256420815,2.216784257633446,M
  2441 Hibbs (1979 MN2),20002441,0.0494,9.93,0.1925701807865398,3.743766715431831,2.409639470521302,C
  2442 Corbett (1980 TO),20002442,0.255,8.327,0.1166319547003929,5.096569048719581,2.387851854161019,M
  2443 Tomeileen (A906 BJ),20002443,0.199,31.878,0.05378773950420491,11.45518219303326,3.011625498311595,M
  2444 Lederle (1934 CD),20002444,0.05,29.925,0.130651596673487,15.11527605254508,2.728520751496561,C
  2445 Blazhko (1935 TC),20002445,0.345,9.13,0.1469506796083471,6.069778592588217,2.269197727741444,S
  2446 Lunacharsky (1971 TS2),20002446,0.079,12.954,0.1623367304982953,3.310977889081554,2.354334930555652,C
  2447 Kronstadt (1973 QY1),20002447,0.238,7.85,0.2656271778620766,8.778478157095021,2.537461579818116,M
  2448 Sholokhov (1975 BU),20002448,0.055,38.519,0.1155619016125125,17.68626118339384,2.792307627450915,C
  2449 Kenos (1978 GC),20002449,,,0.1684314783445616,24.98176342674537,1.908759423221263,C
  2450 Ioannisiani (1978 RP),20002450,0.111,21.905,0.1080465266025852,2.527090684989848,3.117567950499204,C
  2451 Dollfus (1980 RQ),20002451,0.288,11.848,0.1520465847265259,8.592311118128368,2.724683183345608,M
  2452 Lyot (1981 FE),20002452,0.38,11.851,0.1082513577301718,11.67087822695543,3.170352210666731,S
  2453 Wabash (A921 SA),20002453,0.158,19.238,0.1111799228224971,10.31730250064873,3.020197990220915,M
  2454 Olaus Magnus (1941 SS),20002454,0.349,4.921,0.2030014089208129,4.730946474579748,2.251780560927003,S
  2455 Somville (1950 TO4),20002455,0.142,16.099,0.08589790457015586,7.531872552602946,2.728085044460313,C
  2456 Palamedes (1966 BA1),20002456,0.071,65.916,0.07518173324016704,13.9092723661808,5.134834111265959,C
  2457 Rublyov (1975 TU2),20002457,0.079,14.968,0.06743001160994704,6.264213304407231,2.639421233266814,C
  2458 Veniakaverin (1977 RC7),20002458,0.047,22.764,0.1427290437345706,2.086308218541964,3.126823788854697,C
  2459 Spellmann (1980 LB1),20002459,0.184,17.831,0.07462612461685308,9.686253188671616,3.022044896873791,M
  2460 Mitlincoln (1980 TX4),20002460,0.203,9.263,0.1103199018593156,3.744624747591005,2.257325019208076,M
  2461 Clavel (1981 EC1),20002461,0.06,25.943,0.1715145735977318,2.514400186020093,3.182279788161928,C
  2462 Nehalennia (6578 P-L),20002462,0.186,4.662,0.1425874694630098,2.987248692673986,2.409016393086816,M
  2463 Sterpin (1934 FF),20002463,0.263,11.308,0.1560604761474491,13.38143725601381,2.599002682854529,M
  2464 Nordenskiold (1939 BF),20002464,0.082,22.47,0.1928991715344691,0.8402816083339782,3.189804784762701,C
  2465 Wilson (1949 PK),20002465,0.024,21.685,0.07690073852019355,3.856400958908659,2.751453101821435,C
  2466 Golson (1959 RJ),20002466,0.028,23.709,0.1649619249886332,5.089166982381715,2.637358111648495,C
  2467 Kollontai (1966 PJ),20002467,0.283,8.127,0.1607024260038693,5.798462125296867,2.213506110319896,M
  2468 Repin (1969 TO1),20002468,0.346,6.224,0.1568047223096207,5.724125329366096,2.326406651929622,S
  2469 Tadjikistan (1970 HA),20002469,0.069,12.625,0.1381616383337465,9.685393876032308,3.107970403708789,C
